Animal Crossing\Cards\Animal Crossing x Sanrio Series,[AC] XS1 - Rilla.bin,03740101-03190502,Head:0487BC7A764C80,CRC32:6F8F134D,,CRC32:6F8F134D,,0
Animal Crossing\Cards\Animal Crossing x Sanrio Series,[AC] XS2 - Marty.bin,028F0101-031A0502,Head:044EBBA22D4C80,CRC32:CB78A418,,CRC32:CB78A418,,0
Animal Crossing\Cards\Animal Crossing x Sanrio Series,[AC] XS3 - Étoile.bin,04D30101-031B0502,Head:049D1CDA774C80,CRC32:369BAF01,,CRC32:369BAF01,,0
Animal Crossing\Cards\Animal Crossing x Sanrio Series,[AC] XS4 - Chai.bin,032E0101-031C0502,Head:042C38BA774C81,CRC32:77853474,,CRC32:77853474,,0
Animal Crossing\Cards\Animal Crossing x Sanrio Series,[AC] XS5 - Chelsea.bin,02E00101-031D0502,Head:0455CD7A764C81,CRC32:402815D3,,CRC32:402815D3,,0
Animal Crossing\Cards\Animal Crossing x Sanrio Series,[AC] XS6 - Toby.bin,04A80101-031E0502,Head:04D6DC32314C80,CRC32:691B0111,,CRC32:691B0111,,0
Animal Crossing\Cards\Promo,[AC] AF1 - Stitches (amiibo Festival).bin,02820001-01D60502,Head:040A7822EE4980,CRC32:3FDD5E34,,CRC32:3FDD5E34,,0
Animal Crossing\Cards\Promo,[AC] AF2 - Rosie (amiibo Festival).bin,025F0001-01D70502,Head:04504E62EF4981,CRC32:E5D93B4C,,CRC32:E5D93B4C,,0
Animal Crossing\Cards\Promo,[AC] AF3 - Goldie (amiibo Festival).bin,02EA0001-01D50502,Head:04FD6982EF4980,CRC32:14B6B226,,CRC32:14B6B226,,0
Animal Crossing\Cards\Promo,[AC] CP1 - Isabelle (Character Parfait).bin,01810001-01D40502,Head:04D69C52BF4880,CRC32:F880D6C2,,CRC32:F880D6C2,,0
Animal Crossing\Cards\Promo,[AC] CP2 - K.K. Slider (Pikopuri).bin,01820001-01D80502,Head:04F335F2394A80,CRC32:8F34FB80,,CRC32:8F34FB80,,0
Animal Crossing\Cards\Series 1,[AC] 001 - Isabelle.bin,01810001-00440502,Head:04E8925A574980,CRC32:2BDAAB9D,,CRC32:2BDAAB9D,,0
